indicator,box,xmin,xmax,ymin,ymax,color
ela,10,,-15,45,,4
ela,20,-15,-3,45,,4
ela,30,-3,3,45,,5
ela,40,3,15,45,,5
ela,50,15,,45,,5
ela,60,,-15,10,45,4
ela,70,-15,-3,10,45,4
ela,80,-3,3,10,45,4
ela,90,3,15,10,45,4
ela,100,15,,10,45,5
ela,110,,-15,-5,10,3
ela,120,-15,-3,-5,10,3
ela,130,-3,3,-5,10,3
ela,140,3,15,-5,10,4
ela,150,15,,-5,10,4
ela,160,,-15,-70,-5,2
ela,170,-15,-3,-70,-5,2
ela,180,-3,3,-70,-5,2
ela,190,3,15,-70,-5,3
ela,200,15,,-70,-5,3
ela,210,,-15,,-70,1
ela,220,-15,-3,,-70,1
ela,230,-3,3,,-70,1
ela,240,3,15,,-70,2
ela,250,15,,,-70,2
math,10,,-15,35,,4
math,20,-15,-3,35,,4
math,30,-3,3,35,,5
math,40,3,15,35,,5
math,50,15,,35,,5
math,60,,-15,0,35,4
math,70,-15,-3,0,35,4
math,80,-3,3,0,35,4
math,90,3,15,0,35,4
math,100,15,,0,35,5
math,110,,-15,-25,0,3
math,120,-15,-3,-25,0,3
math,130,-3,3,-25,0,3
math,140,3,15,-25,0,4
math,150,15,,-25,0,4
math,160,,-15,-95,-25,2
math,170,-15,-3,-95,-25,2
math,180,-3,3,-95,-25,2
math,190,3,15,-95,-25,3
math,200,15,,-95,-25,3
math,210,,-15,,-95,1
math,220,-15,-3,,-95,1
math,230,-3,3,,-95,1
math,240,3,15,,-95,2
math,250,15,,,-95,2
